storage_nodes,rtt_us,workload,concurrency,op_size,tickets,total_p50_ms,total_p99_ms,coord_wait_p99_ms,persist_batch_p99_ms,cvar_waits_sum,max_batch_ticket_count
16,0,native-stream-publish-at-end-4m,16,4194304,16,1140.710183,1149.96226,1149.917042,1078.872047,29,15
16,0,native-stream-publish-at-end-4m,32,4194304,32,2087.897549,2296.437268,2296.087782,1586.985678,66,31
16,0,native-stream-publish-at-end-4m,64,4194304,64,4106.47967,4593.680401,4593.100804,3733.88972,133,62
16,0,native-stream-publish-at-end-32m,16,33554432,16,1068.574057,1095.093814,1095.045444,1063.897914,29,15
16,0,native-stream-publish-at-end-32m,32,33554432,32,2029.326736,2127.037463,2126.301448,1628.930002,61,29
16,0,native-stream-publish-at-end-32m,64,33554432,64,3875.444252,4623.986402,4623.970972,3189.18272,141,51
16,0,native-stream-publish-barrier-at-end-4m,16,4194304,16,1133.584505,1133.604034,1133.602422,1132.485505,15,16
16,0,native-stream-publish-barrier-at-end-4m,32,4194304,32,2267.449203,2267.509213,2267.507327,2266.32583,31,32
16,0,native-stream-publish-barrier-at-end-4m,64,4194304,64,4534.715772,4535.020034,4534.940944,4533.663418,63,64
16,0,native-stream-publish-barrier-at-end-32m,16,33554432,16,1137.705109,1137.740763,1137.734176,1136.611233,15,16
16,0,native-stream-publish-barrier-at-end-32m,32,33554432,32,2271.421413,2271.482985,2271.450351,2270.297547,31,32
16,0,native-stream-publish-barrier-at-end-32m,64,33554432,64,4534.600519,4534.85767,4534.855521,4533.398734,63,64
16,0,native-stream-publish-interval-4m,16,4194304,64,251.035777,343.007842,343.000942,267.527298,118,15
16,0,native-stream-publish-interval-4m,32,4194304,128,526.923755,590.454199,590.441982,373.367386,270,26
16,0,native-stream-publish-interval-4m,64,4194304,256,1031.198356,1189.041503,1188.948844,782.665049,561,64
16,0,native-stream-publish-interval-32m,16,33554432,64,232.9125,329.252865,329.221922,232.236794,114,13
16,0,native-stream-publish-interval-32m,32,33554432,128,500.101044,639.226862,639.181876,391.106166,277,26
16,0,native-stream-publish-interval-32m,64,33554432,256,1017.76434,1244.138809,1244.13264,538.74346,599,59
16,200,native-stream-publish-at-end-4m,16,4194304,16,1134.608672,1174.029228,1172.328975,960.222808,27,13
16,200,native-stream-publish-at-end-4m,32,4194304,32,2086.732442,2297.508396,2297.503469,1655.611421,66,26
16,200,native-stream-publish-at-end-4m,64,4194304,64,4141.72528,4561.821949,4561.611114,3255.634721,140,57
16,200,native-stream-publish-at-end-32m,16,33554432,16,1031.020829,1047.964006,1047.962524,992.270216,27,14
16,200,native-stream-publish-at-end-32m,32,33554432,32,2006.937835,2174.75788,2174.755158,1205.22395,68,18
16,200,native-stream-publish-at-end-32m,64,33554432,64,3885.967895,4571.830106,4571.82698,2692.457182,142,43
16,200,native-stream-publish-barrier-at-end-4m,16,4194304,16,1135.576641,1135.607594,1135.600941,1134.479669,15,16
16,200,native-stream-publish-barrier-at-end-4m,32,4194304,32,2269.456112,2269.574026,2269.566945,2268.331832,31,32
16,200,native-stream-publish-barrier-at-end-4m,64,4194304,64,4579.372162,4579.784069,4579.780443,4578.164496,63,64
16,200,native-stream-publish-barrier-at-end-32m,16,33554432,16,1136.526957,1136.553483,1136.551393,1135.423216,15,16
16,200,native-stream-publish-barrier-at-end-32m,32,33554432,32,2271.137106,2271.185684,2271.150434,2269.986082,31,32
16,200,native-stream-publish-barrier-at-end-32m,64,33554432,64,4540.385571,4540.543846,4540.512748,4539.194989,63,64
16,200,native-stream-publish-interval-4m,16,4194304,64,199.361999,408.38307,408.380615,232.14663,121,13
