storage_nodes,rtt_us_effective,workload,concurrency,op_size,seconds,published_mbps,stream_append_p50_us,stream_append_p99_us,stream_publish_p50_us,stream_publish_p99_us,published_bytes,artifact
16,0,native-stream-publish-at-end-4m,16,4194304,1.480608,5801.63,2532.791,4701.153,1145634.541,1149966.669,8589934592,native-s16-rtt0/matrix.csv
16,0,native-stream-publish-at-end-4m,32,4194304,2.642639,6501.03,4123.757,6406.985,2088797.796,2296520.325,17179869184,native-s16-rtt0/matrix.csv
16,0,native-stream-publish-at-end-4m,64,4194304,5.196720,6611.81,7444.937,15298.880,4111986.359,4585989.930,34359738368,native-s16-rtt0/matrix.csv
16,0,native-stream-publish-at-end-32m,16,33554432,1.794278,4787.41,44746.056,49494.675,1068921.291,1095099.939,8589934592,native-s16-rtt0/matrix.csv
16,0,native-stream-publish-at-end-32m,32,33554432,3.296003,5212.33,78678.980,109596.491,2029865.256,2127041.473,17179869184,native-s16-rtt0/matrix.csv
16,0,native-stream-publish-at-end-32m,64,33554432,5.632827,6099.91,99089.073,182714.292,3875696.316,4609995.141,34359738368,native-s16-rtt0/matrix.csv
16,0,native-stream-publish-barrier-at-end-4m,16,4194304,1.539893,5578.27,3096.057,3873.113,1133593.783,1133608.325,8589934592,native-s16-rtt0/matrix.csv
16,0,native-stream-publish-barrier-at-end-4m,32,4194304,3.077234,5582.89,4980.593,8221.601,2267466.047,2267514.665,17179869184,native-s16-rtt0/matrix.csv
16,0,native-stream-publish-barrier-at-end-4m,64,4194304,5.680456,6048.76,7878.665,14107.774,4534905.037,4535017.269,34359738368,native-s16-rtt0/matrix.csv
16,0,native-stream-publish-barrier-at-end-32m,16,33554432,1.852574,4636.76,44465.870,47672.937,1137714.327,1137752.297,8589934592,native-s16-rtt0/matrix.csv
16,0,native-stream-publish-barrier-at-end-32m,32,33554432,3.582725,4795.20,77469.299,96639.064,2271461.069,2271749.066,17179869184,native-s16-rtt0/matrix.csv
16,0,native-stream-publish-barrier-at-end-32m,64,33554432,6.439357,5335.90,103439.806,196195.579,4534648.977,4534807.579,34359738368,native-s16-rtt0/matrix.csv
16,0,native-stream-publish-interval-4m,16,4194304,1.391646,6172.50,2982.384,4145.085,251328.179,340378.747,8589934592,native-s16-rtt0/matrix.csv
16,0,native-stream-publish-interval-4m,32,4194304,2.805131,6124.45,5066.420,8885.350,527646.470,590512.413,17179869184,native-s16-rtt0/matrix.csv
16,0,native-stream-publish-interval-4m,64,4194304,5.132574,6694.45,7249.030,22783.238,1031582.361,1183938.036,34359738368,native-s16-rtt0/matrix.csv
16,0,native-stream-publish-interval-32m,16,33554432,1.598093,5375.11,42492.366,54074.410,233200.035,327971.921,8589934592,native-s16-rtt0/matrix.csv
16,0,native-stream-publish-interval-32m,32,33554432,3.058043,5617.93,69634.443,98465.377,500936.027,639229.117,17179869184,native-s16-rtt0/matrix.csv
16,0,native-stream-publish-interval-32m,64,33554432,5.450242,6304.26,71011.647,188723.731,1018658.167,1238302.580,34359738368,native-s16-rtt0/matrix.csv
