storage_nodes,rtt_us,workload,concurrency,op_size,durable_rows,file_sync_p50_ms,file_sync_p99_ms,file_sync_sum_ms,sync_bytes_gib,root_commit_p99_ms,node_catalog_p99_ms,persist_lock_wait_p99_ms
16,0,native-stream-publish-at-end-4m,16,4194304,2,69.287475,1045.543154,1114.830629,8.0,1.483444,2.810402,0.000465
16,0,native-stream-publish-at-end-4m,32,4194304,3,625.178264,1542.324018,2237.246829,16.0,1.835605,2.421753,0.000735
16,0,native-stream-publish-at-end-4m,64,4194304,3,769.786551,3650.340743,4489.414467,32.0,2.83858,3.088956,0.00079
16,0,native-stream-publish-at-end-32m,16,33554432,2,68.736349,1050.453517,1119.189866,8.0,1.44982,3.102532,0.0007
16,0,native-stream-publish-at-end-32m,32,33554432,5,83.581416,1611.894704,2279.577788,16.0,1.694567,2.46292,0.000973
16,0,native-stream-publish-at-end-32m,64,33554432,3,1243.477271,3158.181074,4560.190138,32.0,2.587526,5.965977,0.000696
16,0,native-stream-publish-barrier-at-end-4m,16,4194304,1,1120.005384,1120.005384,1120.005384,8.0,1.780823,2.551869,0.000793
16,0,native-stream-publish-barrier-at-end-4m,32,4194304,1,2244.729521,2244.729521,2244.729521,16.0,2.150864,2.675335,0.000852
16,0,native-stream-publish-barrier-at-end-4m,64,4194304,1,4492.706665,4492.706665,4492.706665,32.0,2.61659,2.957959,0.000718
16,0,native-stream-publish-barrier-at-end-32m,16,33554432,1,1122.781288,1122.781288,1122.781288,8.0,1.544096,2.93806,0.000746
16,0,native-stream-publish-barrier-at-end-32m,32,33554432,1,2246.474711,2246.474711,2246.474711,16.0,2.335853,2.542759,0.000746
16,0,native-stream-publish-barrier-at-end-32m,64,33554432,1,4490.821211,4490.821211,4490.821211,32.0,2.830211,2.891087,0.000842
16,0,native-stream-publish-interval-4m,16,4194304,12,51.334876,261.293604,1100.19815,8.0,3.611296,2.334594,0.000667
16,0,native-stream-publish-interval-4m,32,4194304,14,85.66457,367.191711,2247.379112,16.0,1.686771,2.005774,0.001293
16,0,native-stream-publish-interval-4m,64,4194304,15,169.396739,944.094183,4473.536502,32.0,5.002066,3.010461,0.001387
16,0,native-stream-publish-interval-32m,16,33554432,13,53.155006,226.438411,1108.23193,8.0,1.135708,3.317926,0.00117
16,0,native-stream-publish-interval-32m,32,33554432,17,85.340006,435.496323,2277.795038,16.0,1.166608,7.439767,0.001052
16,0,native-stream-publish-interval-32m,64,33554432,19,104.307127,909.67444,4591.159283,32.0,4.935241,9.98049,0.0017
16,200,native-stream-publish-at-end-4m,16,4194304,2,207.75595,902.327511,1110.083461,8.0,1.410589,2.491958,0.000514
16,200,native-stream-publish-at-end-4m,32,4194304,3,557.849193,1610.865204,2238.321219,16.0,1.890618,2.2477,0.000991
16,200,native-stream-publish-at-end-4m,64,4194304,3,1188.229967,3225.940239,4483.774741,32.0,2.457495,2.689161,0.001204
16,200,native-stream-publish-at-end-32m,16,33554432,3,70.136431,979.478086,1119.488562,8.0,1.65068,2.828044,0.001183
16,200,native-stream-publish-at-end-32m,32,33554432,4,148.085153,1191.498476,2256.924364,16.0,1.558868,2.698133,0.001198
16,200,native-stream-publish-at-end-32m,64,33554432,5,315.363562,2665.84567,4563.479203,32.0,3.450233,26.001913,0.001474
16,200,native-stream-publish-barrier-at-end-4m,16,4194304,1,1122.297879,1122.297879,1122.297879,8.0,1.543237,2.442488,0.00092
16,200,native-stream-publish-barrier-at-end-4m,32,4194304,1,2245.382752,2245.382752,2245.382752,16.0,2.189391,2.927153,0.000637
16,200,native-stream-publish-barrier-at-end-4m,64,4194304,1,4492.263818,4492.263818,4492.263818,32.0,2.983746,3.489249,0.000782
16,200,native-stream-publish-barrier-at-end-32m,16,33554432,1,1122.401217,1122.401217,1122.401217,8.0,1.651248,2.002145,0.000778
16,200,native-stream-publish-barrier-at-end-32m,32,33554432,1,2245.05063,2245.05063,2245.05063,16.0,2.219369,3.451911,0.000832
16,200,native-stream-publish-barrier-at-end-32m,64,33554432,1,4494.067863,4494.067863,4494.067863,32.0,2.965207,3.063247,0.001022
16,200,native-stream-publish-interval-4m,16,4194304,12,85.82055,226.371169,1102.526516,8.0,0.980969,2.262355,0.000514
16,200,native-stream-publish-interval-4m,32,4194304,14,71.953846,436.024782,2232.959331,16.0,1.744308,6.13318,0.000808
16,200,native-stream-publish-interval-4m,64,4194304,16,68.92191,910.432371,4468.420236,32.0,5.063573,2.726005,0.00115
16,200,native-stream-publish-interval-32m,16,33554432,13,69.837141,225.179572,1107.772162,8.0,1.119587,3.914841,0.000678
16,200,native-stream-publish-interval-32m,32,33554432,17,102.356167,384.595645,2264.201044,16.0,1.207014,4.840897,0.000635
16,200,native-stream-publish-interval-32m,64,33554432,18,108.120357,786.593243,4589.613752,32.0,4.778403,12.59104,0.001532
16,3600,native-stream-publish-at-end-4m,16,4194304,2,136.210068,979.985282,1116.19535,8.0,1.497124,2.582722,0.000662
16,3600,native-stream-publish-at-end-4m,32,4194304,3,349.020805,1822.656577,2241.39476,16.0,2.020044,3.088554,0.000721
16,3600,native-stream-publish-at-end-4m,64,4194304,5,69.770933,3298.032247,4490.42965,32.0,2.78156,3.002048,0.001061
16,3600,native-stream-publish-at-end-32m,16,33554432,3,70.175846,981.933143,1121.325388,8.0,1.430894,2.177841,0.000671
16,3600,native-stream-publish-at-end-32m,32,33554432,5,148.328847,1472.368832,2263.493877,16.0,2.065403,3.003442,0.00087
16,3600,native-stream-publish-at-end-32m,64,33554432,3,668.199852,3789.811947,4533.87703,32.0,2.818092,3.070375,0.382455
16,3600,native-stream-publish-barrier-at-end-4m,16,4194304,1,1121.526016,1121.526016,1121.526016,8.0,1.556304,2.309087,0.00075
