workload,provider,durability,rtt_us,serial_rtts,concurrency,op_size,seconds,attempts,successes,errors,success_iops,attempt_iops,mbps,durable_mbps,published_mbps,durable_bytes,published_bytes,p50_us,p90_us,p99_us,p999_us,max_us,samples,stream_append_p50_us,stream_append_p90_us,stream_append_p99_us,stream_append_p999_us,stream_append_max_us,stream_append_samples,stream_publish_p50_us,stream_publish_p90_us,stream_publish_p99_us,stream_publish_p999_us,stream_publish_max_us,stream_publish_samples
native-stream-publish-at-end-4m,durable,ack,200,1,16,4194304,1.543341,2064,2064,0,1337.36,1337.36,5565.81,0.00,5565.81,0,8589934592,2786.638,3123.660,45120.061,1172467.053,1174231.390,2064,2784.747,3103.569,4674.921,50567.181,51184.117,2048,1135080.324,1172623.514,1174231.390,1174231.390,1174231.390,16
native-stream-publish-at-end-4m,durable,ack,200,1,32,4194304,2.682904,4128,4128,0,1538.63,1538.63,6403.46,0.00,6403.46,0,17179869184,4408.782,5155.229,14895.567,2288278.402,2297713.101,4128,4404.855,5116.237,7133.827,16231.411,17724.227,4096,2087479.642,2292424.517,2297713.101,2297713.101,2297713.101,32
native-stream-publish-at-end-4m,durable,ack,200,1,64,4194304,5.250824,8256,8256,0,1572.32,1572.32,6543.69,0.00,6543.69,0,34359738368,7571.620,10688.904,43024.011,4511947.764,4565549.499,8256,7544.012,10588.000,15591.951,50290.996,59679.170,8192,4142523.351,4516881.817,4546069.050,4565549.499,4565549.499,64
native-stream-publish-at-end-32m,durable,ack,200,1,16,33554432,1.757506,272,272,0,154.76,154.76,4887.57,0.00,4887.57,0,8589934592,45153.301,48017.357,1033104.585,1048167.152,1048167.152,272,44962.132,47114.225,49172.428,49538.384,49538.384,256,1031423.266,1037591.148,1048167.152,1048167.152,1048167.152,16
native-stream-publish-at-end-32m,durable,ack,200,1,32,33554432,3.280158,544,544,0,165.85,165.85,5237.51,0.00,5237.51,0,17179869184,78077.141,95507.566,2148789.132,2153515.646,2174962.087,544,76552.382,92791.691,102197.810,104431.670,109006.812,512,2007524.905,2151117.120,2174962.087,2174962.087,2174962.087,32
native-stream-publish-at-end-32m,durable,ack,200,1,64,33554432,5.805027,1088,1088,0,187.42,187.42,5918.96,0.00,5918.96,0,34359738368,108441.587,186073.020,4302319.858,4545017.810,4572034.756,1088,105076.527,140518.708,213003.317,237858.546,281124.611,1024,3886823.756,4468091.662,4545017.810,4572034.756,4572034.756,64
native-stream-publish-barrier-at-end-4m,durable,ack,200,1,16,4194304,1.605422,2064,2064,0,1285.64,1285.64,5350.58,0.00,5350.58,0,8589934592,3275.639,3799.879,6330.594,1135794.001,1135821.192,2064,3274.798,3771.749,4889.513,6435.697,7177.753,2048,1135785.970,1135808.149,1135821.192,1135821.192,1135821.192,16
native-stream-publish-barrier-at-end-4m,durable,ack,200,1,32,4194304,3.100253,4128,4128,0,1331.50,1331.50,5541.44,0.00,5541.44,0,17179869184,5224.238,7542.217,11442.696,2269733.316,2269778.637,4128,5216.323,7521.793,8563.925,12007.727,12996.248,4096,2269668.729,2269738.648,2269778.637,2269778.637,2269778.637,32
native-stream-publish-barrier-at-end-4m,durable,ack,200,1,64,4194304,5.852545,8256,8256,0,1410.67,1410.67,5870.91,0.00,5870.91,0,34359738368,8375.717,11689.533,36804.826,4580445.420,4580573.436,8256,8356.382,11595.156,20487.768,42542.705,51795.168,8192,4579699.461,4580506.125,4580553.840,4580573.436,4580573.436,64
native-stream-publish-barrier-at-end-32m,durable,ack,200,1,16,33554432,1.861106,272,272,0,146.15,146.15,4615.50,0.00,4615.50,0,8589934592,45157.786,48141.914,1136744.418,1136756.066,1136756.066,272,45029.877,47409.520,49297.344,50402.574,50402.574,256,1136736.610,1136749.299,1136756.066,1136756.066,1136756.066,16
native-stream-publish-barrier-at-end-32m,durable,ack,200,1,32,33554432,3.604493,544,544,0,150.92,150.92,4766.24,0.00,4766.24,0,17179869184,77220.153,95715.518,2271378.253,2271392.673,2271394.397,544,75549.544,93427.458,98286.101,113717.479,115199.476,512,2271354.943,2271380.079,2271394.397,2271394.397,2271394.397,32
native-stream-publish-barrier-at-end-32m,durable,ack,200,1,64,33554432,6.486787,1088,1088,0,167.73,167.73,5296.88,0.00,5296.88,0,34359738368,108600.178,148658.158,4541191.169,4541684.551,4541687.925,1088,107454.906,131745.677,193159.271,215490.080,216018.444,1024,4540839.877,4541268.547,4541684.551,4541687.925,4541687.925,64
native-stream-publish-interval-4m,durable,ack,200,1,16,4194304,1.371841,2112,2112,0,1539.54,1539.54,6261.61,0.00,6261.61,0,8589934592,2952.311,3651.423,262014.679,405661.886,408695.123,2112,2912.354,3566.166,4716.885,5822.922,5856.680,2048,200379.862,322572.172,405744.865,408695.123,408695.123,64
native-stream-publish-interval-4m,durable,ack,200,1,32,4194304,2.690459,4224,4224,0,1569.99,1569.99,6385.48,0.00,6385.48,0,17179869184,5076.828,7547.576,534888.256,644176.881,664310.600,4224,5033.089,7420.833,8593.997,12231.092,13835.321,4096,501879.672,594498.945,663170.140,664310.600,664310.600,128
native-stream-publish-interval-4m,durable,ack,200,1,64,4194304,5.193998,8448,8448,0,1626.49,1626.49,6615.28,0.00,6615.28,0,34359738368,7799.462,11396.666,1100639.166,1203708.331,1222676.916,8448,7648.395,10756.549,17276.729,60627.159,79109.108,8192,1058098.432,1181955.256,1209844.045,1222676.916,1222676.916,256
native-stream-publish-interval-32m,durable,ack,200,1,16,33554432,1.495470,320,320,0,213.98,213.98,5743.97,0.00,5743.97,0,8589934592,43804.554,178220.297,330373.168,332103.665,332103.665,320,39153.959,46399.937,49413.392,53158.169,53158.169,256,178565.055,289099.381,331243.504,332103.665,332103.665,64
native-stream-publish-interval-32m,durable,ack,200,1,32,33554432,2.857027,640,640,0,224.01,224.01,6013.20,0.00,6013.20,0,17179869184,64247.793,366263.866,785893.821,851392.936,877310.537,640,50457.566,88339.468,100071.225,101757.462,106097.787,512,366452.910,667814.226,851392.936,877310.537,877310.537,128
native-stream-publish-interval-32m,durable,ack,200,1,64,33554432,5.686104,1280,1280,0,225.11,225.11,6042.76,0.00,6042.76,0,34359738368,92760.942,1098851.834,1328800.482,1358768.329,1359154.856,1280,77258.133,130032.038,195614.745,235717.084,244434.008,1024,1098932.235,1322085.531,1350119.956,1359154.856,1359154.856,256
