workload,provider,durability,rtt_us,serial_rtts,concurrency,op_size,seconds,attempts,successes,errors,success_iops,attempt_iops,mbps,durable_mbps,published_mbps,durable_bytes,published_bytes,p50_us,p90_us,p99_us,p999_us,max_us,samples,stream_append_p50_us,stream_append_p90_us,stream_append_p99_us,stream_append_p999_us,stream_append_max_us,stream_append_samples,stream_publish_p50_us,stream_publish_p90_us,stream_publish_p99_us,stream_publish_p999_us,stream_publish_max_us,stream_publish_samples
native-stream-publish-at-end-4m,durable,ack,3600,1,16,4194304,1.945651,2064,2064,0,1060.83,1060.83,4414.94,0.00,4414.94,0,8589934592,6045.801,6188.541,53105.016,1163247.193,1166427.873,2064,6045.144,6182.738,7538.274,53852.052,54077.538,2048,1152742.227,1166080.162,1166427.873,1166427.873,1166427.873,16
native-stream-publish-at-end-4m,durable,ack,3600,1,32,4194304,3.101289,4128,4128,0,1331.06,1331.06,5539.59,0.00,5539.59,0,17179869184,7327.482,8237.592,21691.620,2161791.551,2294385.091,4128,7323.690,8207.085,9418.109,22154.672,22705.690,4096,2146350.962,2182708.199,2294385.091,2294385.091,2294385.091,32
native-stream-publish-at-end-4m,durable,ack,3600,1,64,4194304,5.550827,8256,8256,0,1487.35,1487.35,6190.02,0.00,6190.02,0,34359738368,9969.350,13744.809,68892.333,4356957.852,4399551.503,8256,9937.511,13654.186,25852.681,122299.209,142105.552,8192,4066186.679,4379295.539,4397650.618,4399551.503,4399551.503,64
native-stream-publish-at-end-32m,durable,ack,3600,1,16,33554432,1.810814,272,272,0,150.21,150.21,4743.69,0.00,4743.69,0,8589934592,46408.338,49239.744,1068899.151,1069595.322,1069595.322,272,46324.944,48268.195,50486.168,50852.816,50852.816,256,1065788.990,1069213.102,1069595.322,1069595.322,1069595.322,16
native-stream-publish-at-end-32m,durable,ack,3600,1,32,33554432,3.295090,544,544,0,165.09,165.09,5213.78,0.00,5213.78,0,17179869184,81309.140,95214.157,2073657.547,2094205.620,2144126.429,544,78144.822,93340.225,97272.263,99283.986,99363.120,512,2012410.048,2076266.313,2144126.429,2144126.429,2144126.429,32
native-stream-publish-at-end-32m,durable,ack,3600,1,64,33554432,5.771704,1088,1088,0,188.51,188.51,5953.14,0.00,5953.14,0,34359738368,92426.096,155011.622,4518499.911,4631356.132,4631927.155,1088,89948.498,136736.131,196736.821,254636.797,259678.619,1024,4176377.262,4567151.670,4631356.132,4631927.155,4631927.155,64
native-stream-publish-barrier-at-end-4m,durable,ack,3600,1,16,4194304,1.974903,2064,2064,0,1045.11,1045.11,4349.55,0.00,4349.55,0,8589934592,6493.619,6697.162,8647.773,1138456.723,1138488.056,2064,6491.867,6689.432,7227.628,8734.812,9328.561,2048,1138438.086,1138480.913,1138488.056,1138488.056,1138488.056,16
native-stream-publish-barrier-at-end-4m,durable,ack,3600,1,32,4194304,3.377576,4128,4128,0,1222.18,1222.18,5086.45,0.00,5086.45,0,17179869184,8077.869,9177.260,11112.930,2270862.744,2270888.011,4128,8063.427,9152.741,10197.517,11322.412,11750.164,4096,2270840.304,2270868.216,2270888.011,2270888.011,2270888.011,32
native-stream-publish-barrier-at-end-4m,durable,ack,3600,1,64,4194304,6.132353,8256,8256,0,1346.30,1346.30,5603.03,0.00,5603.03,0,34359738368,10148.646,14098.302,42951.164,4470675.959,4542043.752,8256,10128.686,13995.021,26805.990,49457.243,70780.184,8192,4470253.413,4470691.514,4538402.348,4542043.752,4542043.752,64
native-stream-publish-barrier-at-end-32m,durable,ack,3600,1,16,33554432,1.888985,272,272,0,143.99,143.99,4547.38,0.00,4547.38,0,8589934592,46517.478,49276.273,1140465.127,1140482.660,1140482.660,272,46441.571,48215.234,50649.760,51046.676,51046.676,256,1140451.939,1140473.713,1140482.660,1140482.660,1140482.660,16
native-stream-publish-barrier-at-end-32m,durable,ack,3600,1,32,33554432,3.608846,544,544,0,150.74,150.74,4760.49,0.00,4760.49,0,17179869184,81969.022,97825.793,2273629.751,2273644.848,2274111.371,544,80649.032,93392.072,105218.167,115720.883,120516.760,512,2273601.096,2273636.981,2274111.371,2274111.371,2274111.371,32
native-stream-publish-barrier-at-end-32m,durable,ack,3600,1,64,33554432,6.366317,1088,1088,0,170.90,170.90,5397.11,0.00,5397.11,0,34359738368,100650.522,152435.596,4541532.720,4541570.569,4541583.040,1088,98352.292,128844.840,200144.100,248162.643,248416.007,1024,4541473.328,4541547.047,4541570.569,4541583.040,4541583.040,64
native-stream-publish-interval-4m,durable,ack,3600,1,16,4194304,1.693322,2112,2112,0,1247.25,1247.25,5072.83,0.00,5072.83,0,8589934592,6372.340,6728.710,220778.424,310268.605,343904.371,2112,6360.763,6663.614,7670.337,8892.847,9008.904,2048,200133.993,289430.505,343790.699,343904.371,343904.371,64
native-stream-publish-interval-4m,durable,ack,3600,1,32,4194304,3.006465,4224,4224,0,1404.97,1404.97,5714.31,0.00,5714.31,0,17179869184,7719.107,9275.349,560786.736,623010.980,676946.932,4224,7666.513,9145.686,10280.618,11978.317,12302.749,4096,529033.140,598740.072,660141.344,676946.932,676946.932,128
native-stream-publish-interval-4m,durable,ack,3600,1,64,4194304,5.403377,8448,8448,0,1563.47,1563.47,6358.94,0.00,6358.94,0,34359738368,10123.843,12667.998,1064174.289,1182312.924,1228236.719,8448,10008.647,12369.579,15236.909,21110.210,33582.329,8192,1037164.789,1158721.735,1200748.343,1228236.719,1228236.719,256
native-stream-publish-interval-32m,durable,ack,3600,1,16,33554432,1.668339,320,320,0,191.81,191.81,5148.80,0.00,5148.80,0,8589934592,46185.375,258563.684,327571.504,330268.022,330268.022,320,45592.195,47701.340,50184.882,50694.137,50694.137,256,258635.378,325476.530,328347.384,330268.022,330268.022,64
native-stream-publish-interval-32m,durable,ack,3600,1,32,33554432,3.158657,640,640,0,202.62,202.62,5438.98,0.00,5438.98,0,17179869184,78189.995,543811.942,668816.165,682923.569,686150.541,640,72918.242,91318.662,98097.693,100423.838,100788.913,512,544217.831,625182.544,682923.569,686150.541,686150.541,128
native-stream-publish-interval-32m,durable,ack,3600,1,64,33554432,5.567630,1280,1280,0,229.90,229.90,6171.34,0.00,6171.34,0,34359738368,108281.514,978035.982,1203518.895,1213150.320,1235343.124,1280,94483.389,127498.677,146051.198,151112.350,151514.934,1024,981327.856,1176318.405,1210953.301,1235343.124,1235343.124,256
