bucket,prefix,mode,workers,total_mib_per_worker,op_mib,publish_mib,chunk_mib,finalize_on_close,bytes,published_bytes,seconds,write_mibps,published_mibps,writes,flushes,closes,write_p50_ms,write_p99_ms,flush_p50_ms,flush_p99_ms,close_p50_ms,close_p99_ms,errors
rapidbench-projectvoice-442316-87ff1c3a,rapidbench,at-end,16,512,4,128,4,false,8589934592,8589934592,6.729323,1217.359,1217.359,2048,16,16,26.534,764.628,14.209,32.473,4.261,8.286,
rapidbench-projectvoice-442316-87ff1c3a,rapidbench,at-end,16,512,32,128,32,false,8589934592,8589934592,4.345198,1885.300,1885.300,256,16,16,94.955,1312.593,37.128,108.784,4.439,7.833,
rapidbench-projectvoice-442316-87ff1c3a,rapidbench,at-end,32,512,4,128,4,false,17179869184,17179869184,3.724783,4398.645,4398.645,4096,32,32,13.833,103.045,12.862,20.171,4.314,9.484,
rapidbench-projectvoice-442316-87ff1c3a,rapidbench,at-end,32,512,32,128,32,false,17179869184,17179869184,3.284801,4987.821,4987.821,512,32,32,95.318,909.968,32.887,120.962,4.530,6.772,
rapidbench-projectvoice-442316-87ff1c3a,rapidbench,at-end,64,512,4,128,4,false,34359738368,34359738368,4.127334,7939.264,7939.264,8192,64,64,16.843,95.956,13.707,28.269,3.805,9.761,
rapidbench-projectvoice-442316-87ff1c3a,rapidbench,at-end,64,512,32,128,32,false,34359738368,34359738368,3.424196,9569.546,9569.546,1024,64,64,162.264,564.767,26.517,122.328,4.717,9.131,
rapidbench-projectvoice-442316-87ff1c3a,rapidbench,interval,16,512,4,128,4,false,8589934592,8589934592,3.082729,2657.386,2657.386,2048,64,16,14.193,29.693,12.622,20.125,4.360,5.953,
rapidbench-projectvoice-442316-87ff1c3a,rapidbench,interval,16,512,32,128,32,false,8589934592,8589934592,2.199916,3723.778,3723.778,256,64,16,91.641,258.697,33.819,80.498,3.927,4.783,
rapidbench-projectvoice-442316-87ff1c3a,rapidbench,interval,32,512,4,128,4,false,17179869184,17179869184,2.628844,6232.396,6232.396,4096,128,32,13.710,32.611,12.794,19.600,4.094,8.177,
rapidbench-projectvoice-442316-87ff1c3a,rapidbench,interval,32,512,32,128,32,false,17179869184,17179869184,2.835649,5777.866,5777.866,512,128,32,97.096,560.630,28.348,87.912,4.356,7.290,
rapidbench-projectvoice-442316-87ff1c3a,rapidbench,interval,64,512,4,128,4,false,34359738368,34359738368,4.601861,7120.597,7120.597,8192,256,64,18.420,85.286,17.375,46.397,4.275,7.355,
rapidbench-projectvoice-442316-87ff1c3a,rapidbench,interval,64,512,32,128,32,false,34359738368,34359738368,4.315699,7592.744,7592.744,1024,256,64,145.877,1002.856,31.997,125.937,4.069,7.978,
rapidbench-projectvoice-442316-87ff1c3a,rapidbench,close-at-end,16,512,4,128,4,false,8589934592,8589934592,2.463167,3325.800,3325.800,2048,0,16,13.286,27.206,0.000,0.000,16.130,19.282,
rapidbench-projectvoice-442316-87ff1c3a,rapidbench,close-at-end,16,512,32,128,32,false,8589934592,8589934592,2.757805,2970.478,2970.478,256,0,16,117.618,279.865,0.000,0.000,60.949,142.176,
rapidbench-projectvoice-442316-87ff1c3a,rapidbench,close-at-end,32,512,4,128,4,false,17179869184,17179869184,3.128277,5237.387,5237.387,4096,0,32,14.449,33.399,0.000,0.000,16.902,23.652,
rapidbench-projectvoice-442316-87ff1c3a,rapidbench,close-at-end,32,512,32,128,32,false,17179869184,17179869184,2.784164,5884.711,5884.711,512,0,32,104.351,532.734,0.000,0.000,58.060,113.979,
rapidbench-projectvoice-442316-87ff1c3a,rapidbench,close-at-end,64,512,4,128,4,false,34359738368,34359738368,4.902222,6684.316,6684.316,8192,0,64,20.681,73.149,0.000,0.000,18.925,33.159,
rapidbench-projectvoice-442316-87ff1c3a,rapidbench,close-at-end,64,512,32,128,32,false,34359738368,34359738368,4.132675,7929.005,7929.005,1024,0,64,150.736,837.404,0.000,0.000,44.682,166.586,
